filename,testDescription,Conformance,DELETE /api/v1/namespaces/{namespace}/pods,DELETE /api/v1/namespaces/{namespace}/pods/{name},DELETE /api/v1/namespaces/{namespace}/pods/{name}/proxy,DELETE /api/v1/namespaces/{namespace}/pods/{name}/proxy/{path},GET /api/v1/namespaces/{namespace}/pods,GET /api/v1/namespaces/{namespace}/pods/{name},GET /api/v1/namespaces/{namespace}/pods/{name}/log,GET /api/v1/namespaces/{namespace}/pods/{name}/portforward,GET /api/v1/namespaces/{namespace}/pods/{name}/proxy,GET /api/v1/namespaces/{namespace}/pods/{name}/proxy/{path},GET /api/v1/namespaces/{namespace}/pods/{name}/status,GET /api/v1/pods,GET /api/v1/watch/namespaces/{namespace}/pods,GET /api/v1/watch/namespaces/{namespace}/pods/{name},GET /api/v1/watch/pods,PATCH /api/v1/namespaces/{namespace}/pods/{name},PATCH /api/v1/namespaces/{namespace}/pods/{name}/status,POST /api/v1/namespaces/{namespace}/pods,POST /api/v1/namespaces/{namespace}/pods/{name}/eviction,POST /api/v1/namespaces/{namespace}/pods/{name}/portforward,POST /api/v1/namespaces/{namespace}/pods/{name}/proxy,POST /api/v1/namespaces/{namespace}/pods/{name}/proxy/{path},PUT /api/v1/namespaces/{namespace}/pods/{name},PUT /api/v1/namespaces/{namespace}/pods/{name}/proxy,PUT /api/v1/namespaces/{namespace}/pods/{name}/proxy/{path},PUT /api/v1/namespaces/{namespace}/pods/{name}/status
res_100.tmp,[sig-api-machinery] Watchers   should observe add update and delete events on pods,,Y,Y,,,Y,Y,,,,,,,Y,,Y,,,Y,,,,,Y,,,Y
res_101.tmp,[sig-storage] Subpath [Volume type: nfs]   should fail if non-existent subpath is outside the volume [Slow],,Y,Y,,,Y,Y,,,,,,,Y,,Y,,,Y,,,,,,,,Y
res_10.tmp,[sig-storage] Subpath [Volume type: nfs]   should unmount if pod is force deleted while kubelet is down [Disruptive][Slow],,Y,Y,,,Y,Y,,,,,,Y,Y,,Y,,,Y,,,,,,,,Y
res_102.tmp,[sig-storage] Subpath [Volume type: nfs]   should unmount if pod is gracefully deleted while kubelet is down [Disruptive][Slow],,Y,Y,,,Y,Y,,,,,,Y,,,Y,,,Y,,,,,,,,Y
res_103.tmp,[sig-storage] Subpath Atomic writer volumes   should support subpaths with downward pod,,Y,Y,,,Y,Y,Y,,,,,,,,,,,Y,,,,,,,,Y
res_104.tmp,[sig-scheduling] Multi-AZ Cluster Volumes [sig-storage]   should only be allowed to provision PDs in zones where nodes exist,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,,,
res_105.tmp,[sig-storage] PersistentVolumes-local  [Volume type: tmpfs] Two pods mounting a local volume one after the other   should be able to write from pod1 and read from pod2,,Y,Y,,,Y,Y,,,,,,,,,Y,,,Y,,,,,,,,Y
res_106.tmp,[sig-storage] Subpath [Volume type: hostPath]   should support readOnly directory specified in the volumeSource,,Y,Y,,,Y,Y,,,,,,,,,Y,,,,,,,,,,,
res_108.tmp,[sig-network] Services   should have session affinity work for service with type clusterIP,,Y,Y,,,Y,Y,,,,,,,Y,,Y,,,Y,,,,,,,,Y
res_109.tmp,[sig-apps] Deployment   RecreateDeployment should delete old pods and create new ones,,Y,Y,,,Y,Y,,,,,,,,,,,,Y,,,,,,,,Y
