filename,testDescription,Conformance,DELETE /api/v1/namespaces/{namespace}/pods,DELETE /api/v1/namespaces/{namespace}/pods/{name},DELETE /api/v1/namespaces/{namespace}/pods/{name}/proxy,DELETE /api/v1/namespaces/{namespace}/pods/{name}/proxy/{path},GET /api/v1/namespaces/{namespace}/pods,GET /api/v1/namespaces/{namespace}/pods/{name},GET /api/v1/namespaces/{namespace}/pods/{name}/log,GET /api/v1/namespaces/{namespace}/pods/{name}/portforward,GET /api/v1/namespaces/{namespace}/pods/{name}/proxy,GET /api/v1/namespaces/{namespace}/pods/{name}/proxy/{path},GET /api/v1/namespaces/{namespace}/pods/{name}/status,GET /api/v1/pods,GET /api/v1/watch/namespaces/{namespace}/pods,GET /api/v1/watch/namespaces/{namespace}/pods/{name},GET /api/v1/watch/pods,PATCH /api/v1/namespaces/{namespace}/pods/{name},PATCH /api/v1/namespaces/{namespace}/pods/{name}/status,POST /api/v1/namespaces/{namespace}/pods,POST /api/v1/namespaces/{namespace}/pods/{name}/eviction,POST /api/v1/namespaces/{namespace}/pods/{name}/portforward,POST /api/v1/namespaces/{namespace}/pods/{name}/proxy,POST /api/v1/namespaces/{namespace}/pods/{name}/proxy/{path},PUT /api/v1/namespaces/{namespace}/pods/{name},PUT /api/v1/namespaces/{namespace}/pods/{name}/proxy,PUT /api/v1/namespaces/{namespace}/pods/{name}/proxy/{path},PUT /api/v1/namespaces/{namespace}/pods/{name}/status
res_110.tmp,[sig-api-machinery] Generated clientset   should create v1beta1 cronJobs delete cronJobs watch cronJobs,,Y,,,,Y,Y,,,,,,,Y,,,,,,,,,,,,,
res_11.tmp,[sig-storage] EmptyDir volumes   should support (root0666tmpfs) [Conformance],Y,Y,Y,,,Y,Y,Y,,,,,,,,,,,Y,,,,,,,,Y
res_111.tmp,[sig-storage] Volume Placement   should create and delete pod with multiple volumes from different datastore,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,,,
res_113.tmp,[sig-storage] Subpath [Volume type: hostPath]   should support existing single file,,Y,Y,,,Y,Y,Y,,,,,,,,Y,,,Y,,,,,,,,Y
res_112.tmp,[sig-storage] [Serial] Volume metrics PVController   should create none metrics for pvc controller before creating any PV or PVC,,Y,,,,Y,Y,,,,Y,,,,,,,,,,,,,,,,
res_114.tmp,[sig-storage] Subpath [Volume type: hostPathSymlink]   should support creating multiple subpath from same volumes [Slow],,Y,Y,,,Y,Y,Y,,,,,,,,,,,Y,,,,,,,,Y
res_115.tmp,[sig-storage] Downward API volume   should provide container's cpu limit  [Conformance],Y,Y,Y,,,Y,Y,Y,,,,,,,,Y,,,Y,,,,,,,,Y
res_116.tmp,[k8s.io] Pods   should get a host IP  [Conformance],Y,Y,Y,,,Y,Y,,,,,,,,,Y,,,Y,,,,,,,,Y
res_118.tmp,[sig-storage] PersistentVolumes-local  Local volume that cannot be mounted [Slow]   should fail due to non-existent path,,Y,Y,,,Y,Y,,,,,,,,,Y,,,Y,,,,,,,,Y
res_117.tmp,[sig-storage] Volume Placement   test back to back pod creation and deletion with different volume sources on the same worker node,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,,,
res_107.tmp,[sig-storage] EmptyDir wrapper volumes   should not cause race condition when used for configmaps [Serial] [Slow],,Y,Y,,,Y,Y,,,,,,,Y,,Y,,,Y,,,,,,,,Y
res_12.tmp,[sig-storage] ConfigMap   binary data should be reflected in volume ,,Y,Y,,,Y,Y,Y,,,,,,,,,,,Y,,,,,,,,Y
res_120.tmp,[sig-storage] PersistentVolumes-local  [Volume type: gce-localssd-scsi-fs] [Serial] Two pods mounting a local volume one after the other   should be able to write from pod1 and read from pod2,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,,,
res_119.tmp,[sig-instrumentation] Cluster level logging implemented by Stackdriver   should ingest logs,,Y,Y,,,Y,Y,,,,,,,Y,,Y,,,Y,,,,,,,,Y
res_122.tmp,[sig-storage] Downward API volume   should provide container's memory request  [Conformance],Y,Y,Y,,,Y,Y,Y,,,,,,,,,,,Y,,,,,,,,Y
res_123.tmp,[sig-storage] PersistentVolumes:vsphere   should test that deleting the PV before the pod does not cause pod deletion to fail on vspehre volume detach,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,,,
res_121.tmp,[sig-storage] Volumes PD   should be mountable with ext3,,Y,Y,,,Y,Y,,,,,,,,,,,,Y,,,,,,,,Y
res_124.tmp,[sig-storage] Subpath [Volume type: gcePDPartitioned]   should support readOnly directory specified in the volumeMount,,Y,Y,,,Y,Y,,,,,,,,,Y,,,,,,,,,,,
res_126.tmp,[sig-storage] Subpath [Volume type: hostPath]   should support creating multiple subpath from same volumes [Slow],,Y,Y,,,Y,Y,Y,,,,,,,,,,,Y,,,,,,,,Y
res_125.tmp,[sig-network] Networking   should check kube-proxy urls,,Y,,,,Y,Y,,,,,,,,,,,,Y,,,,,,,,Y
res_129.tmp,[sig-storage] Subpath [Volume type: gcePDPartitioned]   should support restarting containers using file as subpath [Slow],,Y,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,,
res_127.tmp,[k8s.io] [sig-node] AppArmor load AppArmor profiles   can disable an AppArmor profile using unconfined,,Y,Y,,,Y,Y,,,,,,,,,Y,,,Y,,,,,,,,Y
res_13.tmp,[sig-auth] PodSecurityPolicy   should enforce the restricted extensions.PodSecurityPolicy,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,,,
res_128.tmp,[sig-api-machinery] AdmissionWebhook   Should mutate custom resource,,Y,,,,Y,Y,,,,,,,,,Y,,,Y,,,,,,,,Y
res_130.tmp,[sig-scheduling] SchedulerPredicates [Serial]   validates that there is no conflict between pods with same hostPort but different hostIP and protocol,,Y,Y,,,Y,Y,,,,,,Y,,,Y,,,Y,,,,,,,,Y
res_131.tmp,[sig-storage] Subpath [Volume type: hostPathSymlink]   should fail if non-existent subpath is outside the volume [Slow],,Y,Y,,,Y,Y,,,,,,,Y,,Y,,,Y,,,,,,,,Y
res_132.tmp,[sig-storage] PVC Protection   Verify "immediate" deletion of a PVC that is not in active use by a pod,,Y,,,,Y,Y,,,,,,,,,Y,,,,,,,,,,,
res_134.tmp,[sig-storage] PersistentVolumes-local  [Volume type: dir-bindmounted] Two pods mounting a local volume one after the other   should be able to write from pod1 and read from pod2,,Y,Y,,,Y,Y,,,,,,,,,,,,Y,,,,,,,,Y
res_133.tmp,[sig-auth] ServiceAccounts   should mount an API token into pods  [Conformance],Y,Y,Y,,,Y,Y,Y,,,,,,,,,,,Y,,,,,,,,Y
res_135.tmp,[sig-api-machinery] AdmissionWebhook   Should mutate pod and apply defaults after mutation,,Y,Y,,,Y,Y,,,,,,,,,Y,,,Y,,,,,,,,Y
res_136.tmp,[sig-storage] Flexvolumes [Disruptive]   should install plugin without kubelet restart,,Y,Y,,,Y,Y,,,,,,,,,,,,Y,,,,,,,,Y
res_137.tmp,[sig-network] Services   should serve multiport endpoints from pods  [Conformance],Y,Y,Y,,,Y,Y,,,,,,,,,,,,Y,,,,,,,,Y
res_139.tmp,[sig-network] Networking Granular Checks: Services [Slow]   should function for node-Service: http,,Y,,,,Y,Y,,,,,,,Y,,Y,,,Y,,,,,,,,Y
res_138.tmp,[sig-storage] Subpath [Volume type: nfs]   should fail if subpath directory is outside the volume [Slow],,Y,Y,,,Y,Y,,,,,,,,,Y,,,Y,,,,,,,,Y
res_14.tmp,[sig-storage] Subpath [Volume type: gcePDPVC]   should fail if subpath with backstepping is outside the volume [Slow],,Y,Y,,,Y,Y,,,,,,,,,Y,,,Y,,,,,,,,Y
res_141.tmp,[sig-api-machinery] ConfigMap   should be consumable via the environment  [Conformance],Y,Y,Y,,,Y,Y,Y,,,,,,,,,,,Y,,,,,,,,Y
res_142.tmp,[sig-api-machinery] Garbage collector   should not be blocked by dependency circle [Conformance],Y,Y,Y,,,Y,Y,,,,,,,,,Y,Y,,Y,,,,,Y,,,Y
res_140.tmp,[sig-storage] Subpath [Volume type: gluster]   should fail if non-existent subpath is outside the volume [Slow],,Y,Y,,,Y,Y,,,,,,,,,Y,,,Y,,,,,,,,Y
res_144.tmp,[sig-apps] StatefulSet [k8s.io] Basic StatefulSet functionality [StatefulSetBasic]   should perform canary updates and phased rolling updates of template modifications [Conformance],Y,Y,Y,,,Y,Y,,,,,,,,,Y,,,Y,,,,,,,,Y
res_143.tmp,[sig-auth] Advanced Audit   should audit API calls [DisabledForLargeClusters],,Y,Y,,,Y,Y,,,,,,,Y,,Y,Y,,Y,,,,,Y,,,Y
res_145.tmp,[sig-api-machinery] AdmissionWebhook   Should unconditionally reject operations on fail closed webhook,,Y,Y,,,Y,Y,,,,,,,,,Y,,,Y,,,,,,,,Y
res_147.tmp,[sig-storage] Subpath [Volume type: gcePDPartitioned]   should support existing directory,,Y,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,,
res_146.tmp,[sig-cluster-lifecycle] Nodes [Disruptive] Resize [Slow]   should be able to delete nodes,,Y,Y,,,Y,Y,,,,Y,,Y,Y,,Y,,,Y,,,,,,,,Y
res_148.tmp,[k8s.io] Docker Containers   should be able to override the image's default command (docker entrypoint)  [Conformance],Y,Y,Y,,,Y,Y,Y,,,,,,,,,,,Y,,,,,,,,Y
res_149.tmp,[sig-storage] Subpath [Volume type: gluster]   should support readOnly directory specified in the volumeMount,,Y,Y,,,Y,Y,Y,,,,,,,,,,,Y,,,,,,,,Y
res_151.tmp,[sig-storage] Subpath [Volume type: gcePDPartitioned]   should fail if non-existent subpath is outside the volume [Slow],,Y,Y,,,Y,Y,,,,,,,,,Y,,,,,,,,,,,
res_150.tmp,[sig-storage] Downward API volume   should provide container's cpu request  [Conformance],Y,Y,Y,,,Y,Y,Y,,,,,,,,,,,Y,,,,,,,,Y
res_152.tmp,[sig-storage] Subpath [Volume type: gcePDPartitioned]   should fail if subpath with backstepping is outside the volume [Slow],,Y,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,,
res_15.tmp,[sig-network] Services   should be able to create an internal type load balancer [Slow] [DisabledForLargeClusters],,Y,Y,,,Y,Y,,,,,,,,,Y,,,Y,,,,,,,,Y
res_153.tmp,[sig-storage] Projected   should be consumable from pods in volume with mappings as non-root with FSGroup,,Y,Y,,,Y,Y,Y,,,,,,,,Y,,,Y,,,,,,,,Y
res_154.tmp,[sig-auth] ServiceAccounts   should allow opting out of API token automount  [Conformance],Y,Y,,,,Y,Y,,,,,,,,,,,,Y,,,,,,,,Y
res_156.tmp,[sig-storage] ConfigMap   should be consumable from pods in volume as non-root with defaultMode and fsGroup set,,Y,Y,,,Y,Y,Y,,,,,,,,,,,Y,,,,,,,,Y
res_157.tmp,[sig-storage] Subpath [Volume type: emptyDir]   should support non-existent path,,Y,Y,,,Y,Y,Y,,,,,,,,Y,,,Y,,,,,,,,Y
res_155.tmp,[sig-network] Networking Granular Checks: Pods   should function for intra-pod communication: udp  [Conformance],Y,Y,,,,Y,Y,,,,,,,,,Y,,,Y,,,,,,,,Y
res_158.tmp,[sig-storage] Subpath [Volume type: nfsPVC]   should support readOnly directory specified in the volumeMount,,Y,Y,,,Y,Y,Y,,,,,,,,Y,,,Y,,,,,,,,Y
res_160.tmp,[sig-storage] Pod Disks schedule a pod w/ RW PD(s) mounted to 1 or more containers write to PD verify content delete pod and repeat in rapid succession [Slow]   using 1 containers and 2 PDs,,Y,Y,,,Y,Y,,,,,,,,,Y,,,Y,,,,,,,,Y
res_16.tmp,[k8s.io] Probing container   should be restarted with a exec "cat /tmp/health" liveness probe [Conformance],Y,Y,Y,,,Y,Y,,,,,,,,,Y,,,Y,,,,,,,,Y
res_159.tmp,[sig-apps] StatefulSet [k8s.io] Basic StatefulSet functionality [StatefulSetBasic]   Scaling should happen in predictable order and halt if any stateful pod is unhealthy [Conformance],Y,Y,Y,,,Y,Y,,,,,,Y,Y,,Y,,,Y,,,,,,,,Y
res_161.tmp,[sig-storage] Projected   updates should be reflected in volume [Conformance],Y,Y,Y,,,Y,Y,Y,,,,,,,,Y,,,Y,,,,,,,,Y
res_163.tmp,[k8s.io] Probing container   should be restarted with a /healthz http liveness probe  [Conformance],Y,Y,Y,,,Y,Y,,,,,,,,,Y,,,Y,,,,,,,,Y
res_164.tmp,[sig-storage] Subpath [Volume type: gluster]   should support readOnly directory specified in the volumeSource,,Y,Y,,,Y,Y,Y,,,,,,,,Y,,,Y,,,,,,,,Y
res_165.tmp,[sig-cli] Kubectl client [k8s.io] Kubectl run default   should create an rc or deployment from an image  [Conformance],Y,Y,Y,,,Y,Y,,,,,,,,,,,,Y,,,,,,,,Y
res_162.tmp,[sig-storage] PersistentVolumes-local  [Volume type: tmpfs] One pod requesting one prebound PVC   should be able to mount volume and read from pod1,,Y,Y,,,Y,Y,,,,,,,Y,,Y,,,Y,,,,,,,,Y
res_166.tmp,[sig-network] Services   should serve a basic endpoint from pods  [Conformance],Y,Y,Y,,,Y,Y,,,,,,,,,Y,,,Y,,,,,,,,Y
res_167.tmp,[sig-storage] Projected   should update labels on modification [Conformance],Y,Y,Y,,,Y,Y,Y,,,,,,,,Y,,,Y,,,,,Y,,,Y
res_168.tmp,[sig-auth] Metadata Concealment   should run a check-metadata-concealment job to completion,,Y,,,,Y,Y,,,,,,,,,,,,Y,,,,,,,,Y
res_169.tmp,[sig-storage] PersistentVolumes-local  [Volume type: gce-localssd-scsi-fs] [Serial] Set fsGroup for local volume   should set fsGroup for one pod,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,,,
res_171.tmp,[sig-storage] PersistentVolumes:vsphere   should test that deleting the Namespace of a PVC and Pod causes the successful detach of vsphere volume,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,,,
res_17.tmp,[sig-storage] Subpath [Volume type: nfs]   should support readOnly file specified in the volumeMount,,Y,Y,,,Y,Y,Y,,,,,,,,Y,,,Y,,,,,,,,Y
res_170.tmp,[sig-instrumentation] Logging soak [Performance] [Slow] [Disruptive]   should survive logging 1KB every 1s seconds for a duration of 2m0s scaling up to 1 pods per node,,Y,Y,,,Y,Y,Y,,,,,,,,Y,,,Y,,,,,,,,Y
res_173.tmp,[sig-cli] Kubectl client [k8s.io] Update Demo   should create and stop a replication controller  [Conformance],Y,Y,Y,,,Y,Y,,,,Y,,,,,,,,Y,,,,,,,,Y
res_172.tmp,[sig-storage] PVC Protection   Verify that PVC in active use by a pod is not removed immediately,,Y,Y,,,Y,Y,,,,,,,,,Y,,,Y,,,,,,,,Y
res_175.tmp,[sig-storage] Projected   should be consumable from pods in volume as non-root with defaultMode and fsGroup set,,Y,Y,,,Y,Y,Y,,,,,,,,Y,,,Y,,,,,,,,Y
res_177.tmp,[sig-storage] Subpath [Volume type: hostPathSymlink]   should support restarting containers using directory as subpath [Slow],,Y,Y,,,Y,Y,,,,,,,Y,,Y,,,Y,,,,,,,,Y
res_174.tmp,[sig-storage] PersistentVolumes-local  [Volume type: blockfs] Set fsGroup for local volume   should not set different fsGroups for two pods simultaneously,,Y,Y,,,Y,Y,,,,,,,,,Y,,,Y,,,,,,,,Y
res_176.tmp,[sig-storage] GCP Volumes NFSv3   should be mountable for NFSv3,,Y,Y,,,Y,Y,,,,,,,,,Y,,,Y,,,,,,,,Y
res_18.tmp,[sig-storage] Secrets   should be consumable from pods in volume  [Conformance],Y,Y,Y,,,Y,Y,Y,,,,,,,,Y,,,Y,,,,,,,,Y
res_178.tmp,[sig-storage] EmptyDir wrapper volumes   should not conflict,,Y,Y,,,Y,Y,,,,,,,,,,,,Y,,,,,,,,Y
res_179.tmp,[sig-storage] Subpath [Volume type: hostPathSymlink]   should support restarting containers using file as subpath [Slow],,Y,Y,,,Y,Y,,,,,,,,,Y,,,Y,,,,,,,,Y
res_180.tmp,[sig-storage] Subpath [Volume type: emptyDir]   should support existing single file,,Y,Y,,,Y,Y,Y,,,,,,,,,,,Y,,,,,,,,Y
res_181.tmp,[sig-api-machinery] AdmissionWebhook   Should be able to deny pod and configmap creation,,Y,Y,,,Y,Y,,,,,,,,,Y,,,Y,,,,,,,,Y
res_184.tmp,[sig-cli] Kubectl client [k8s.io] Kubectl cluster-info   should check if Kubernetes master services is included in cluster-info  [Conformance],Y,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,,,
res_183.tmp,[sig-storage] Downward API volume   should update labels on modification  [Conformance],Y,Y,Y,,,Y,Y,Y,,,,,,,,Y,,,Y,,,,,Y,,,Y
res_182.tmp,[sig-storage] Subpath [Volume type: hostPathSymlink]   should fail if subpath file is outside the volume [Slow],,Y,Y,,,Y,Y,,,,,,,,,,,,Y,,,,,,,,Y
res_185.tmp,[sig-storage] Subpath [Volume type: hostPath]   should support restarting containers using directory as subpath [Slow],,Y,Y,,,Y,Y,,,,,,,,,Y,,,Y,,,,,,,,Y
res_187.tmp,[sig-storage] Subpath [Volume type: hostPath]   should support existing directory,,Y,Y,,,Y,Y,Y,,,,,,,,,,,Y,,,,,,,,Y
res_186.tmp,[sig-storage] PersistentVolumes-local  [Volume type: dir-link-bindmounted] One pod requesting one prebound PVC   should be able to mount volume and write from pod1,,Y,Y,,,Y,Y,,,,,,,Y,,Y,,,Y,,,,,,,,Y
res_188.tmp,[sig-network] Services   should create endpoints for unready pods,,Y,Y,,,Y,Y,,,,Y,,,,,Y,,,Y,,,,,,,,Y
res_189.tmp,[sig-storage] ConfigMap   should be consumable from pods in volume as non-root  [Conformance],Y,Y,Y,,,Y,Y,Y,,,,,,,,Y,,,Y,,,,,,,,Y
res_190.tmp,[sig-storage] ConfigMap   should be consumable from pods in volume with mappings  [Conformance],Y,Y,Y,,,Y,Y,Y,,,,,,,,,,,Y,,,,,,,,Y
res_191.tmp,[sig-cli] Kubectl Port forwarding [k8s.io] With a server listening on 0.0.0.0 [k8s.io] that expects a client request   should support a client that connects sends NO DATA and disconnects,,Y,Y,,,Y,Y,Y,,,,,,,,Y,,,Y,,Y,,,,,,Y
res_192.tmp,[sig-api-machinery] Servers with support for Table transformation   should return a 406 for a backend which does not implement metadata,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,,,
res_19.tmp,[sig-storage] Subpath [Volume type: nfsPVC]   should support readOnly directory specified in the volumeSource,,Y,Y,,,Y,Y,Y,,,,,,,,Y,,,Y,,,,,,,,Y
res_194.tmp,[sig-storage] Secrets   should be consumable from pods in volume with mappings  [Conformance],Y,Y,Y,,,Y,Y,Y,,,,,,,,,,,Y,,,,,,,,Y
res_195.tmp,[sig-storage] Pod Disks detach in a disrupted environment [Slow] [Disruptive]   when pod is evicted,,Y,Y,,,Y,Y,,,,,,,,,Y,,,Y,Y,,,,,,,Y
res_196.tmp,[k8s.io] Pods   should contain environment variables for services  [Conformance],Y,Y,Y,,,Y,Y,Y,,,,,,,,,,,Y,,,,,,,,Y
res_193.tmp,[sig-network] Networking Granular Checks: Pods   should function for node-pod communication: http  [Conformance],Y,Y,,,,Y,Y,,,,,,,,,Y,,,Y,,,,,,,,Y
res_198.tmp,[sig-apps] Network Partition [Disruptive] [Slow] [k8s.io] [Job]   should create new pods when node is partitioned,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,,,
res_2.tmp,[sig-network] Services   should check NodePort out-of-range,,Y,,,,Y,Y,,,,,,,,,Y,,,,,,,,,,,
res_20.tmp,[sig-storage] PersistentVolumes-local  [Volume type: dir-bindmounted] Set fsGroup for local volume   should set fsGroup for one pod,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,,,
res_199.tmp,[sig-api-machinery] Etcd failure [Disruptive]   should recover from network partition with master,,Y,Y,,,Y,Y,,,,Y,,,Y,,Y,,,Y,,,,,,,,Y
res_197.tmp,[sig-storage] PersistentVolumes-local  [Volume type: tmpfs] Set fsGroup for local volume   should set different fsGroup for second pod if first pod is deleted,,Y,Y,,,Y,Y,,,,,,,,,,,,Y,,,,,,,,Y
res_200.tmp,[sig-storage] Subpath [Volume type: gluster]   should support existing directory,,Y,Y,,,Y,Y,Y,,,,,,,,Y,,,Y,,,,,,,,Y
res_201.tmp,[sig-apps] Daemon set [Serial]   should not update pod when spec was updated and update strategy is OnDelete,,Y,Y,,,Y,Y,,,,,,,,,Y,,,Y,,,,,,,,Y
res_202.tmp,[sig-storage] Projected   should be consumable in multiple volumes in the same pod [Conformance],Y,Y,Y,,,Y,Y,Y,,,,,,,,Y,,,Y,,,,,,,,Y
res_205.tmp,[sig-cli] Kubectl client [k8s.io] Kubectl run rc   should create an rc from an image  [Conformance],Y,Y,Y,,,Y,Y,Y,,,,,,,,Y,,,Y,,,,,,,,Y
res_203.tmp,[sig-apps] StatefulSet [k8s.io] Basic StatefulSet functionality [StatefulSetBasic]   should perform rolling updates and roll backs of template modifications [Conformance],Y,Y,Y,,,Y,Y,,,,,,,,,Y,,,Y,,,,,,,,Y
res_204.tmp,[sig-storage] Subpath [Volume type: nfsPVC]   should fail if subpath with backstepping is outside the volume [Slow],,Y,Y,,,Y,Y,,,,,,,,,Y,,,Y,,,,,,,,Y
res_206.tmp,[sig-api-machinery] Garbage collector   should delete pods created by rc when not orphaning [Conformance],Y,Y,Y,,,Y,Y,,,,Y,,,,,,,,Y,,,,,,,,Y
res_207.tmp,[sig-storage] Secrets   should be able to mount in a volume regardless of a different secret existing with same name in different namespace,,Y,Y,,,Y,Y,Y,,,,,,,,,,,Y,,,,,,,,Y
res_208.tmp,[sig-storage] Subpath [Volume type: emptyDir]   should support creating multiple subpath from same volumes [Slow],,Y,Y,,,Y,Y,Y,,,,,,,,,,,Y,,,,,,,,Y
res_209.tmp,[sig-cli] Kubectl client [k8s.io] Update Demo   should do a rolling update of a replication controller  [Conformance],Y,Y,Y,,,Y,Y,,,,Y,,,Y,,Y,Y,,Y,,,,,,,,Y
res_21.tmp,[sig-apps] Daemon set [Serial]   should run and stop complex daemon with node affinity,,Y,Y,,,Y,Y,,,,,,,,,,,,Y,,,,,,,,Y
res_210.tmp,[sig-storage] Subpath [Volume type: gcePDPVC]   should unmount if pod is gracefully deleted while kubelet is down [Disruptive][Slow],,Y,Y,,,Y,Y,,,,,,Y,,,Y,,,Y,,,,,,,,Y
res_211.tmp,[sig-storage] EmptyDir volumes   should support (non-root0644tmpfs) [Conformance],Y,Y,Y,,,Y,Y,Y,,,,,,,,Y,,,Y,,,,,,,,Y
res_213.tmp,[sig-storage] [Serial] Volume metrics PVController   should create unbound pvc count metrics for pvc controller after creating pvc only,,Y,,,,Y,Y,,,,Y,,,,,,,,,,,,,,,,
res_212.tmp,[sig-api-machinery] AdmissionWebhook   Should be able to deny custom resource creation,,Y,Y,,,Y,Y,,,,,,,,,Y,,,Y,,,,,,,,Y
res_215.tmp,[sig-network] Proxy version v1   should proxy logs on node with explicit kubelet port using proxy subresource  [Conformance],Y,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,,,
res_216.tmp,[sig-api-machinery] Downward API   should provide container's limits.cpu/memory and requests.cpu/memory as env vars  [Conformance],Y,Y,Y,,,Y,Y,Y,,,,,,,,,,,Y,,,,,,,,Y
res_214.tmp,[sig-api-machinery] AdmissionWebhook   Should not be able to prevent deleting validating-webhook-configurations or mutating-webhook-configurations,,Y,,,,Y,Y,,,,,,,,,Y,,,Y,,,,,,,,Y
res_217.tmp,[sig-scheduling] SchedulerPredicates [Serial]   validates that taints-tolerations is respected if not matching,,Y,Y,,,Y,Y,,,,,,Y,,,Y,,,Y,,,,,,,,Y
res_22.tmp,[sig-scheduling] ResourceQuota   should create a ResourceQuota and capture the life of a persistent volume claim with a storage class. [sig-storage],,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,,,
res_219.tmp,[sig-storage] PersistentVolumes-local  [Volume type: dir-link-bindmounted] Set fsGroup for local volume   should not set different fsGroups for two pods simultaneously,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,,,
res_218.tmp,[k8s.io] Probing container   with readiness probe should not be ready before initial delay and never restart  [Conformance],Y,Y,Y,,,Y,Y,,,,,,,,,Y,,,Y,,,,,,,,Y
res_220.tmp,[sig-storage] Subpath [Volume type: hostPathSymlink]   should support readOnly directory specified in the volumeSource,,Y,Y,,,Y,Y,,,,,,,,,,,,Y,,,,,,,,Y
res_223.tmp,[sig-storage] EmptyDir volumes   should support (non-root0666default) [Conformance],Y,Y,Y,,,Y,Y,Y,,,,,,,,,,,Y,,,,,,,,Y
res_222.tmp,[sig-network] Loadbalancing: L7 [Slow] Nginx   should conform to Ingress spec,,Y,,,,Y,Y,Y,,,,,Y,,,,,,,,,,,,,,
